,3fgl,signif,ra,decl,lr_p,rf_p,blr,4fgldr1,4fgldr1-cls1,4fgldr1-3fgl,4fgldr2,4fgldr2-cls1,4fgldr2-3fgl,4fgldr3,4fgldr3-cls1,4fgldr3-3fgl,4fgldr4,4fgldr4-cls1,4fgldr4-3fgl,4fgldr1_features,4fgldr1_labels,predict_lr_dr1,predict_nn_dr1,predict_dnn_dr1,predict_rf_dr1
10,J2039.6-5618,25.38,309.918,−56.3121,0.99,0.82,MSP/MSP,J2039.5-5617,,J2039.6-5618,J2039.5-5617,PSR,J2039.6-5618,J2039.5-5617,MSP,J2039.6-5618,J2039.5-5617,MSP,J2039.6-5618,,,NA,NA,NA,NA
11,J0212.1+5320,25.07,33.037,53.3360,0.98,0.92,MSP/MSP,J0212.1+5321,,J0212.1+5320,J0212.1+5321,bin,J0212.1+5320,J0212.1+5321,bin,J0212.1+5320,J0212.1+5321,bin,J0212.1+5320,,,NA,NA,NA,NA
12,J2017.9+3627,25.04,304.485,36.4591,1.0,0.85,YNG/YNG,J2017.9+3625,PSR,J2017.9+3627,J2017.9+3625,PSR,J2017.9+3627,J2017.9+3625,PSR,J2017.9+3627,J2017.9+3625,PSR,J2017.9+3627,"[2.503662109375, 2.471898078918457, 0.9913913607597351, 7.409914970397949, -29.71815422275086, -29.28245368251368, -26.090889741388057, -29.228376463503604, -21.82847901806335, 0.537606954574585, 0.017580624669790268, 15.267328262329102, 43.06195831298828, -0.37635086045807004, -0.2622717806563461, -0.5095813607074664, -0.7819879358499259, -0.9674117690992238, -0.9990193421316296]",[0],PSR,PSR,PSR,PSR
13,J1405.4-6119,24.82,211.356,−61.3168,1.0,0.77,YNG/YNG,J1405.1-6119,,J1405.4-6119,J1405.1-6119,,J1405.4-6119,J1405.1-6119,HMB,J1405.4-6119,J1405.1-6119,HMB,J1405.4-6119,,,NA,NA,NA,NA
14,J1405.4-6119,24.82,211.356,−61.3168,1.0,0.77,YNG/YNG,J1405.1-6119,,J1405.4-6119,J1405.1-6119,,J1405.4-6119,J1409.1-6121e,,J1405.4-6119,J1405.1-6119,HMB,J1405.4-6119,,,NA,NA,NA,NA
15,J1405.4-6119,24.82,211.356,−61.3168,1.0,0.77,YNG/YNG,J1405.1-6119,,J1405.4-6119,J1409.1-6121e,,J1405.4-6119,J1405.1-6119,HMB,J1405.4-6119,J1405.1-6119,HMB,J1405.4-6119,,,NA,NA,NA,NA
16,J1405.4-6119,24.82,211.356,−61.3168,1.0,0.77,YNG/YNG,J1405.1-6119,,J1405.4-6119,J1409.1-6121e,,J1405.4-6119,J1409.1-6121e,,J1405.4-6119,J1405.1-6119,HMB,J1405.4-6119,,,NA,NA,NA,NA
17,J1405.4-6119,24.82,211.356,−61.3168,1.0,0.77,YNG/YNG,J1409.1-6121e,,J1405.4-6119,J1405.1-6119,,J1405.4-6119,J1405.1-6119,HMB,J1405.4-6119,J1405.1-6119,HMB,J1405.4-6119,,,NA,NA,NA,NA
18,J1405.4-6119,24.82,211.356,−61.3168,1.0,0.77,YNG/YNG,J1409.1-6121e,,J1405.4-6119,J1405.1-6119,,J1405.4-6119,J1409.1-6121e,,J1405.4-6119,J1405.1-6119,HMB,J1405.4-6119,,,NA,NA,NA,NA
19,J1405.4-6119,24.82,211.356,−61.3168,1.0,0.77,YNG/YNG,J1409.1-6121e,,J1405.4-6119,J1409.1-6121e,,J1405.4-6119,J1405.1-6119,HMB,J1405.4-6119,J1405.1-6119,HMB,J1405.4-6119,,,NA,NA,NA,NA
20,J1405.4-6119,24.82,211.356,−61.3168,1.0,0.77,YNG/YNG,J1409.1-6121e,,J1405.4-6119,J1409.1-6121e,,J1405.4-6119,J1409.1-6121e,,J1405.4-6119,J1405.1-6119,HMB,J1405.4-6119,,,NA,NA,NA,NA
21,J0340.4+5302,22.31,55.1,53.0484,0.99,0.28,YNG/YNG,J0340.4+5302,,J0340.4+5302,J0340.4+5302,,J0340.4+5302,J0340.4+5302,,J0340.4+5302,J0340.4+5302,,J0340.4+5302,,,NA,NA,NA,NA
22,J0933.9-6232,22.07,143.481,−62.5338,0.99,0.96,MSP/MSP,J0933.8-6232,,J0933.9-6232,J0933.8-6232,,J0933.9-6232,J0933.8-6232,,J0933.9-6232,J0933.8-6232,,J0933.9-6232,,,NA,NA,NA,NA
23,J0634.1+0424,21.06,98.528,4.4062,0.98,0.69,YNG/YNG,J0634.2+0436e,snr,J0634.1+0424,J0634.2+0436e,snr,J0634.1+0424,J0634.2+0436e,snr,J0634.1+0424,,,,,,NA,NA,NA,NA
24,J1745.3-2903c,20.66,266.343,−29.0630,1.0,0.87,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
25,J1622.9-5004,20.65,245.726,−50.0753,0.99,0.75,YNG/YNG,J1623.0-5004,PSR,J1622.9-5004,J1623.0-5004,PSR,J1622.9-5004,J1623.0-5004,PSR,J1622.9-5004,J1623.0-5004,PSR,J1622.9-5004,"[2.32116436958313, 2.338573455810547, 1.2969868183135986, 4.324544429779053, -31.494685231692166, -31.165990561842303, -26.320140578986827, -31.154206542572126, -21.449283314908893, 0.36609917879104614, 0.0, 9.379816055297852, 30.884660720825195, -0.9823022841827674, 0.9986662143536781, -0.3104617426775537, -0.5311543504738527, -0.7966159669311891, -0.9247683398466376]",[0],PSR,PSR,PSR,PSR
26,J1946.4-5403,20.29,296.614,−54.0570,0.98,0.96,MSP/MSP,J1946.5-5402,PSR,J1946.4-5403,J1946.5-5402,PSR,J1946.4-5403,J1946.5-5402,MSP,J1946.4-5403,J1946.5-5402,MSP,J1946.4-5403,"[2.2399938106536865, 1.6878520250320435, 0.44206157326698303, 2.9326939582824707, -30.037293840387704, -29.511598636110087, -28.13909813279839, -29.553032665701405, -23.088250776866758, 0.5782939195632935, 0.0, 11.14999008178711, 33.56776428222656, 0.7635491919103219, -0.308522082987473, -0.35642623380881205, -0.7918222782256398, -0.9999751042592152, 0.3608920437410038]",[0],PSR,PSR,PSR,PSR
27,J1747.0-2828,20.26,266.775,−28.4819,1.0,0.73,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
28,J1624.2-4041,19.27,246.059,−40.6865,0.99,0.85,YNG/YNG,J1624.1-4042,PSR,J1624.2-4041,J1624.1-4042,PSR,J1624.2-4041,J1624.1-4042,PSR,J1624.2-4041,J1624.1-4042,PSR,J1624.2-4041,"[2.348445415496826, 2.3096425533294678, 0.9698849320411682, 11.926194190979004, -30.49662312325419, -30.068288203032346, -27.331791515983053, -30.129679039236976, -22.517860640979283, 0.4432867467403412, 0.0777752473950386, 12.18799114227295, 35.72798538208008, 0.14387511972867487, -0.22482067855779195, -0.4952942466941093, -0.6860460596433705, -0.963306955183007, -0.991878623416751]",[0],PSR,PSR,PSR,PSR
29,J1539.2-3324,19.23,234.823,−33.4142,0.96,0.93,MSP/MSP,J1539.4-3323,,J1539.2-3324,J1539.4-3323,,J1539.2-3324,J1539.4-3323,,J1539.2-3324,J1539.4-3323,,J1539.2-3324,,,NA,NA,NA,NA
30,J0359.5+5413,19.17,59.881,54.2220,1.0,0.83,MSP/YNG,J0359.4+5414,PSR,J0359.5+5413,J0359.4+5414,PSR,J0359.5+5413,J0359.4+5414,PSR,J0359.5+5413,J0359.4+5414,PSR,J0359.5+5413,"[2.3817012310028076, 2.2827556133270264, 1.0805848836898804, 3.749119758605957, -30.423530647975177, -29.980334640381496, -27.198177233295254, -29.952172706042433, -22.594880917664927, 0.45016640424728394, 0.0, 10.710908889770508, 28.06110191345215, 0.5008225804256908, 0.7147217898123367, -0.5220956514553593, -0.712571905142902, -0.9683159985449927, -0.9999999523990099]",[0],PSR,PSR,PSR,PSR
31,J0954.8-3948,18.89,148.712,−39.8087,0.86,0.26,MSP/MSP,,,,,,,,,,,,,,,NA,NA,NA,NA
32,J1848.4-0141,18.67,282.118,−1.6927,1.0,0.73,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
33,J2004.4+3338,18.46,301.103,33.6451,0.66,0.2,MSP/YNG,J2004.3+3339,unk,J2004.4+3338,J2004.3+3339,unk,J2004.4+3338,J2004.3+3339,unk,J2004.4+3338,J2004.3+3339,unk,J2004.4+3338,,,NA,NA,NA,NA
34,J2041.1+4736,18.38,310.281,47.6030,0.99,0.43,YNG/YNG,J2041.1+4736,,J2041.1+4736,J2041.1+4736,,J2041.1+4736,J2041.1+4736,,J2041.1+4736,J2041.1+4736,,J2041.1+4736,,,NA,NA,NA,NA
35,J0854.8-4503,18.21,133.711,−45.0616,0.98,0.82,YNG/YNG,J0854.8-4504,,J0854.8-4503,J0854.8-4504,,J0854.8-4503,J0854.8-4504,,J0854.8-4503,J0854.8-4504,,J0854.8-4503,,,NA,NA,NA,NA
36,J0744.1-2523,18.1,116.045,−25.3994,0.97,0.38,MSP/YNG,J0744.0-2525,,J0744.1-2523,J0744.0-2525,bin,J0744.1-2523,J0744.0-2525,PSR,J0744.1-2523,J0744.0-2525,PSR,J0744.1-2523,,,NA,NA,NA,NA
37,J0002.6+6218,17.97,0.674,62.3006,0.99,0.81,YNG/YNG,J0002.8+6217,PSR,J0002.6+6218,J0002.8+6217,PSR,J0002.6+6218,J0002.8+6217,PSR,J0002.6+6218,J0002.8+6217,PSR,J0002.6+6218,"[2.4731266498565674, 2.3412225246429443, 1.1812958717346191, 4.701814651489258, -30.245180526001057, -29.808365757379764, -27.221693097555097, -29.848824889691844, -22.795908694031247, 0.4285966753959656, 0.0, 9.461156845092773, 27.66865348815918, 0.992667826227015, 0.001857054753456682, -0.5699878954840351, -0.7318594023056649, -0.9896816269506247, -0.9980955144567049]",[0],PSR,PSR,PSR,PSR
38,J0336.1+7500,17.75,54.044,75.0153,0.95,0.72,MSP/MSP,J0336.0+7502,,J0336.1+7500,J0336.0+7502,,J0336.1+7500,J0336.0+7502,lmb,J0336.1+7500,J0336.0+7502,lmb,J0336.1+7500,,,NA,NA,NA,NA
39,J1800.8-2402,17.48,270.222,−24.0351,0.98,0.77,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
40,J1754.0-2538,16.84,268.508,−25.6486,0.95,0.79,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
41,J1823.2-1339,16.64,275.82,−13.6513,1.0,0.8,YNG/YNG,J1823.3-1340,,J1823.2-1339,J1823.3-1340,,J1823.2-1339,J1823.3-1340,,J1823.2-1339,J1823.3-1340,,J1823.2-1339,,,NA,NA,NA,NA
42,J1208.4-6239,16.23,182.12,−62.6612,0.98,0.75,YNG/YNG,J1208.2-6237,PSR,J1208.4-6239,J1208.2-6237,PSR,J1208.4-6239,J1208.2-6237,PSR,J1208.4-6239,J1208.2-6237,PSR,J1208.4-6239,"[2.3706367015838623, 2.5644445419311523, 1.6005254983901978, 5.236287593841553, -31.43069735327044, -31.193042424448812, -26.463372679355, -31.134436174385403, -21.94872547381554, 0.23780770599842072, 0.0, 7.7705302238464355, 25.8858642578125, 0.9949986490284976, 0.455224511873167, -0.5912549717859452, -0.6108629654280151, -0.880607305536443, -0.912166069030765]",[0],PSR,PSR,PSR,PSR
43,J1650.3-4600,16.18,252.599,−46.0141,0.99,0.84,YNG/YNG,J1650.3-4600,PSR,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600,"[2.4479293823242188, 2.6043546199798584, 1.2140167951583862, 9.162851333618164, -30.548826813057765, -30.237352997172106, -26.292447707080107, -30.195339454015677, -21.56641143658704, 0.3925630450248718, 0.06729339808225632, 9.75135612487793, 25.942955017089844, 0.860849901223333, -0.29701221372932063, -0.5420690386355727, -0.686233300978708, -0.9615974685022896, -0.9996396116765881]",[0],PSR,PSR,PSR,PSR
44,J1650.3-4600,16.18,252.599,−46.0141,0.99,0.84,YNG/YNG,J1650.3-4600,PSR,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600,J1652.2-4633e,,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600,"[2.4479293823242188, 2.6043546199798584, 1.2140167951583862, 9.162851333618164, -30.548826813057765, -30.237352997172106, -26.292447707080107, -30.195339454015677, -21.56641143658704, 0.3925630450248718, 0.06729339808225632, 9.75135612487793, 25.942955017089844, 0.860849901223333, -0.29701221372932063, -0.5420690386355727, -0.686233300978708, -0.9615974685022896, -0.9996396116765881]",[0],PSR,PSR,PSR,PSR
45,J1650.3-4600,16.18,252.599,−46.0141,0.99,0.84,YNG/YNG,J1650.3-4600,PSR,J1650.3-4600,J1652.2-4633e,,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600,"[2.4479293823242188, 2.6043546199798584, 1.2140167951583862, 9.162851333618164, -30.548826813057765, -30.237352997172106, -26.292447707080107, -30.195339454015677, -21.56641143658704, 0.3925630450248718, 0.06729339808225632, 9.75135612487793, 25.942955017089844, 0.860849901223333, -0.29701221372932063, -0.5420690386355727, -0.686233300978708, -0.9615974685022896, -0.9996396116765881]",[0],PSR,PSR,PSR,PSR
46,J1650.3-4600,16.18,252.599,−46.0141,0.99,0.84,YNG/YNG,J1650.3-4600,PSR,J1650.3-4600,J1652.2-4633e,,J1650.3-4600,J1652.2-4633e,,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600,"[2.4479293823242188, 2.6043546199798584, 1.2140167951583862, 9.162851333618164, -30.548826813057765, -30.237352997172106, -26.292447707080107, -30.195339454015677, -21.56641143658704, 0.3925630450248718, 0.06729339808225632, 9.75135612487793, 25.942955017089844, 0.860849901223333, -0.29701221372932063, -0.5420690386355727, -0.686233300978708, -0.9615974685022896, -0.9996396116765881]",[0],PSR,PSR,PSR,PSR
47,J1650.3-4600,16.18,252.599,−46.0141,0.99,0.84,YNG/YNG,J1652.2-4633e,,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600,,,NA,NA,NA,NA
48,J1650.3-4600,16.18,252.599,−46.0141,0.99,0.84,YNG/YNG,J1652.2-4633e,,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600,J1652.2-4633e,,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600,,,NA,NA,NA,NA
49,J1650.3-4600,16.18,252.599,−46.0141,0.99,0.84,YNG/YNG,J1652.2-4633e,,J1650.3-4600,J1652.2-4633e,,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600,,,NA,NA,NA,NA
50,J1650.3-4600,16.18,252.599,−46.0141,0.99,0.84,YNG/YNG,J1652.2-4633e,,J1650.3-4600,J1652.2-4633e,,J1650.3-4600,J1652.2-4633e,,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600,,,NA,NA,NA,NA
51,J1056.7-5853,16.11,164.179,−58.8960,1.0,0.67,YNG/YNG,J1056.9-5852,PSR,J1056.7-5853,J1056.9-5852,PSR,J1056.7-5853,J1056.9-5852,PSR,J1056.7-5853,J1056.9-5852,PSR,J1056.7-5853,"[2.5565314292907715, 2.4836513996124268, 0.00017935235518962145, 1.820143222808838, -30.267882263538247, -29.66268106607596, -27.64681461514088, -29.826881495693453, -22.490916541932076, 0.9999844431877136, 0.0, 7.910506248474121, 16.43723487854004, -0.9828731275481352, 0.8677969528705028, -0.30539331881816184, -0.8607465646203601, -0.9992269609132145, -0.9348689501317214]",[0],PSR,PSR,PSR,PSR
52,J1112.0-6135,15.69,168.017,−61.5842,0.97,0.65,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
53,J0914.5-4736,15.57,138.641,−47.6152,0.5,0.39,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
54,J1358.5-6025,15.43,209.643,−60.4298,1.0,0.7,YNG/YNG,J1358.3-6026,,J1358.5-6025,J1358.3-6026,,J1358.5-6025,J1358.3-6026,PSR,J1358.5-6025,J1358.3-6026,PSR,J1358.5-6025,,,NA,NA,NA,NA
55,J1104.9-6036,15.4,166.248,−60.6091,1.0,0.85,YNG/YNG,J1104.9-6037,PSR,J1104.9-6036,J1104.9-6037,PSR,J1104.9-6036,J1104.9-6037,PSR,J1104.9-6036,J1104.9-6037,PSR,J1104.9-6036,"[2.4147210121154785, 2.4555487632751465, 0.8855157494544983, 3.5279853343963623, -30.896518978084814, -30.513783649795947, -26.96349077609362, -30.538527930097125, -22.123354866871317, 0.5000641345977783, 0.0, 9.221266746520996, 21.92991828918457, 0.13089866951982967, -0.4849093193978299, -0.42329501049172646, -0.6530832529388362, -0.9249179561181374, -0.9999961047255571]",[0],PSR,PSR,PSR,PSR
56,J0545.6+6019,15.39,86.415,60.3219,0.56,0.37,MSP/MSP,J0545.7+6016,,J0545.6+6019,J0545.7+6016,,J0545.6+6019,J0545.7+6016,,J0545.6+6019,J0545.7+6016,,J0545.6+6019,,,NA,NA,NA,NA
57,J1742.6-3321,15.31,265.665,−33.3562,1.0,0.83,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
58,J1857.9+0210,15.19,284.49,2.1704,1.0,0.85,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
59,J1740.5-2843,15.13,265.125,−28.7170,1.0,0.76,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
60,J1748.3-2815c,15.11,267.092,−28.2589,0.98,0.78,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
61,J1754.0-2930,15.03,268.5,−29.5059,0.99,0.65,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
62,J0238.0+5237,14.99,39.505,52.6256,0.97,0.65,MSP/MSP,J0237.8+5238,,J0238.0+5237,J0237.8+5238,,J0238.0+5237,J0237.8+5238,,J0238.0+5237,J0237.8+5238,,J0238.0+5237,,,NA,NA,NA,NA
63,J1839.3-0552,14.92,279.848,−5.8816,1.0,0.88,YNG/YNG,J1839.4-0553,unk,J1839.3-0552,J1839.4-0553,unk,J1839.3-0552,J1839.4-0553,unk,J1839.3-0552,J1839.4-0553,unk,J1839.3-0552,,,NA,NA,NA,NA
64,J2117.6+3725,14.5,319.421,37.4256,0.98,0.3,MSP/MSP,J2117.9+3729,,J2117.6+3725,J2117.9+3729,,J2117.6+3725,J2117.9+3729,,J2117.6+3725,J2117.9+3729,,J2117.6+3725,,,NA,NA,NA,NA
65,J0419.1+6636,14.47,64.778,66.6049,0.26,0.33,MSP/MSP,J0418.9+6636,,J0419.1+6636,J0418.9+6636,,J0419.1+6636,J0418.9+6636,MSP,J0419.1+6636,J0418.9+6636,MSP,J0419.1+6636,,,NA,NA,NA,NA
66,J2212.5+0703,14.28,333.147,7.0598,0.69,0.4,MSP/MSP,J2212.4+0708,,J2212.5+0703,J2212.4+0708,,J2212.5+0703,J2212.4+0708,,J2212.5+0703,J2212.4+0708,,J2212.5+0703,,,NA,NA,NA,NA
67,J1447.3-5800,14.23,221.831,−58.0049,1.0,0.61,YNG/YNG,J1447.4-5757,,J1447.3-5800,J1447.4-5757,,J1447.3-5800,J1447.4-5757,PSR,J1447.3-5800,J1447.4-5757,PSR,J1447.3-5800,,,NA,NA,NA,NA
68,J0426.7+5437,14.19,66.681,54.6168,1.0,0.71,YNG/YNG,J0426.5+5434,,J0426.7+5437,J0426.5+5434,,J0426.7+5437,J0426.5+5434,,J0426.7+5437,J0426.5+5434,,J0426.7+5437,,,NA,NA,NA,NA
69,J0858.6-4357,14.13,134.657,−43.9582,0.94,0.56,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
70,J0953.7-1510,14.0,148.429,−15.1745,0.97,0.88,MSP/MSP,J0953.6-1509,,J0953.7-1510,J0953.6-1509,,J0953.7-1510,J0953.6-1509,,J0953.7-1510,J0953.6-1509,,J0953.7-1510,,,NA,NA,NA,NA
71,J1901.5-0126,13.97,285.399,−1.4481,0.31,0.26,YNG/YNG,J1901.4-0126,PSR,J1901.5-0126,J1901.4-0126,PSR,J1901.5-0126,J1901.4-0126,MSP,J1901.5-0126,J1901.4-0126,MSP,J1901.5-0126,"[2.407602310180664, 2.365520477294922, 1.4532392024993896, 6.6459431648254395, -30.720861448348185, -30.404046762657032, -27.3244039923306, -30.40135886329454, -22.56630484464322, 0.3060692846775055, 0.045181963592767715, 6.295547008514404, 22.54149627685547, 0.9503441581748211, -0.17246425503281418, -0.5614497577961065, -0.6499345545407881, -0.8549497652013007, -0.9999990976762912]",[0],PSR,PSR,PSR,PSR
72,J1624.1-4700,13.9,246.042,−47.0058,0.88,0.58,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
73,J0838.8-2829,13.74,129.704,−28.4892,0.6,0.57,MSP/MSP,J0838.7-2827,unk,J0838.8-2829,J0838.7-2827,bin,J0838.8-2829,J0838.7-2827,bin,J0838.8-2829,J0838.7-2827,bin,J0838.8-2829,,,NA,NA,NA,NA
74,J1852.8+0158,13.71,283.209,1.9722,0.98,0.78,YNG/YNG,,,,J1852.6+0203,,J1852.8+0158,J1852.6+0203,,J1852.8+0158,J1852.6+0203,,J1852.8+0158,,,NA,NA,NA,NA
75,J1317.6-6315,13.53,199.403,−63.2598,0.97,0.64,YNG/YNG,J1317.5-6316,,J1317.6-6315,J1317.5-6316,,J1317.6-6315,J1317.5-6316,,J1317.6-6315,J1317.5-6316,,J1317.6-6315,,,NA,NA,NA,NA
76,J1231.6-5113,13.45,187.902,−51.2210,0.99,0.39,YNG/MSP,J1231.6-5116,,J1231.6-5113,J1231.6-5116,,J1231.6-5113,J1231.6-5116,PSR,J1231.6-5113,J1231.6-5116,PSR,J1231.6-5113,,,NA,NA,NA,NA
77,J1641.5-5319,13.22,250.378,−53.3237,0.99,0.57,YNG/MSP,J1641.2-5317,PSR,J1641.5-5319,J1641.2-5317,PSR,J1641.5-5319,J1641.2-5317,PSR,J1641.5-5319,J1641.2-5317,PSR,J1641.5-5319,"[2.440491199493408, 2.331838607788086, 1.085495114326477, 3.095694065093994, -30.224943424073526, -29.775316749817293, -27.347580756110894, -29.790696469134783, -22.780563969014384, 0.4080256521701813, 0.0, 7.729615688323975, 23.416109085083008, -0.31911772564334795, -0.4261876195163343, -0.5646867918242255, -0.7534282612265224, -0.9988021443744071, 0.933030012623769]",[0],PSR,PSR,PSR,PSR
78,J1120.6+0713,13.18,170.172,7.2235,0.11,0.45,MSP/MSP,J1120.6+0713,bcu,J1120.6+0713,J1120.6+0713,bcu,J1120.6+0713,J1120.6+0713,bcu,J1120.6+0713,J1120.6+0713,bcu,J1120.6+0713,"[2.1374690532684326, 1.8050646781921387, 0.8298285007476807, 10.165424346923828, -30.819237165621416, -30.314660579903094, -28.177588693809714, -30.303394088715727, -23.265317416879913, 0.383574903011322, 0.15375779569149017, 6.246207237243652, 21.450754165649414, -0.8260146686950427, 0.05261305762802663, -0.3942799886212527, -0.5808744574301024, -0.9604016254097597, -0.16929873381452307]",[1],PSR,PSR,PSR,AGN
79,J1026.2-5730,13.14,156.56,−57.5166,0.96,0.85,YNG/YNG,J1026.2-5731,,J1026.2-5730,J1026.2-5731,,J1026.2-5730,J1026.2-5731,,J1026.2-5730,J1026.2-5731,,J1026.2-5730,,,NA,NA,NA,NA
